Owner,Title,Web URL,Category
Tulsipur Sub-Metropolitan City,पशु सेवा कार्यक्रम संचालन कार्यविधि २०७७,https://bit.ly/3oa3MYa,Act and Laws
Tulsipur Sub-Metropolitan City,एकीकृत पशु स्वास्थ्य शिबिर संचालन कार्यविधि २०७७,https://bit.ly/3bhYuVh,Act and Laws
Tulsipur Sub-Metropolitan City,"तुलसीपुर उपमहानगरपालिकाको सहकारी संस्था स‌ंचालन,अनुगमन तथा नियमन सम्बन्धी मापदण्ड २०७७",https://bit.ly/3hpC0Wn,Act and Laws
Tulsipur Sub-Metropolitan City,आ.व. ०७६।७७ को पौष महिनासम्मको भौतिक प्रगति विवरण,https://bit.ly/2Qe79kw,Report
Tulsipur Sub-Metropolitan City,TULSIPUR PSLA Report,http://135.181.13.69/plsa-report/tulsipur-psla-report/,Report
Tulsipur Sub-Metropolitan City,लैङि्गक हिंसाको सम्बोधनका लागि सिफारिस प्रणालि सम्बन्धि निर्देशिका प्रकाशन,http://103.233.56.101:8183/municipality/tulsipur/posts/publication,
Mega Dang Valley Irrigation Project,संस्था दर्ता गर्दा आवश्यक पर्ने कागजातहरु,https://www.mdvip.gov.np/storage/assets/download/download1618212323.pdf,        आवश्यक कागजातहरु
Mega Dang Valley Irrigation Project,योजना माग गर्दा आवश्यक पर्ने कागजातहरु,https://docs.google.com/viewer?url=https%3A%2F%2Fwww.mdvip.gov.np%2Fstorage%2Fassets%2Fdownload%2Fdownload1618212227.pdf&embedded=true&chrome=false&dov=1,आवश्यक कागजातहरु
Mega Dang Valley Irrigation Project,सिंचाइ नियमावली-2056,https://www.mdvip.gov.np/storage/assets/download/download1618212149.pdf,	निति/नियमावलि
Mega Dang Valley Irrigation Project,विधानको नमूना (संचाइ जल उपभोक्ता संस्थाको लागि),https://www.mdvip.gov.np/storage/assets/download/download1618212019.pdf,	विधानहरू
Mega Dang Valley Irrigation Project,योजना माग फारामको नमूना,https://www.mdvip.gov.np/storage/assets/download/download1618211930.pdf,	फारमहरू
Mega Dang Valley Irrigation Project,	सिचाइ नीति,https://www.mdvip.gov.np/storage/assets/download/download1618211845.pdf,निति/नियमावलि
Mega Dang Valley Irrigation Project,राष्ट्रिय जलस्रोत नीति 2077,https://www.mdvip.gov.np/storage/assets/download/download1618129471.pdf,कार्यविधि
Mega Dang Valley Irrigation Project,	सिंचाइ नियमावली-2056,https://www.mdvip.gov.np/storage/assets/download/download1618128358.pdf,कार्यविधि
Mega Dang Valley Irrigation Project,संस्था दर्ता गर्दा आवश्यक पर्ने कागजातहरु,https://www.mdvip.gov.np/storage/assets/download/download1618128086.pdf,कार्यविधि
